proposition_id,fifa_match_id,stage,group_label,home_team,away_team,kickoff_at_utc,window_start_at_utc,window_end_at_utc,proposition_type,yes_represents,no_represents,condition_id,yes_token_id,no_token_id,market_structure,exchange_address,openfootball_revision,openfootball_path,openfootball_source_lines,openfootball_line_hash,condition_init_tx_hash,condition_init_log_index,question_init_tx_hash,question_init_log_index,ancillary_data_sha256,token_verification_block_number,token_verification_block_hash,manifest_sha256,manifest_version,reviewed_at_utc
wc2026-m001-home-win,1,group_stage,A,Mexico,South Africa,2026-06-11T19:00:00Z,2026-06-11T19:00:00Z,2026-06-11T21:30:00Z,home_win,Mexico wins in regulation,Mexico does not win in regulation,0x4cd77d456c83e7d8c569a8fb8f6396c3f40154f657e6d970733e2b1b6a7110ff,20779063998268474490699884714808310289659170477959115489741275295270359962039,31737047518539899535567112033353059282081653485307566877543665387870041296100,neg_risk,0xe2222d279d744050d28e00520010520000310F59,bd46a148289f9930da66c140d4d7d2325e95d387,2026--usa/cup.txt,78-79,59d5c1f0393f0d7a82172b059a59131e84eaf86eb4ed99fd74f36cf1276189bd,0xdc59f05e569cfd58d4d9314139dd7997d3fbe19e144d05ac52000264ac74c7ae,90,0x653a641cb3926a6fdd2567a44b191030b5cd5235e39d355e2aad48d3fca4b25e,180,ff905168c98a1904669580e2d861cba83d5dcc35b3aba03c5b48f3886d6fc2e9,85197712,0x6beac102947e526b5c5428e9db148ac135027f6f250ec06d5ba551ad8b0cdab8,4cad46ebe278b0e3beb2f6b9aa4046223285f0a9b976d5390b98c4096de3bdac,1.0.0,2026-07-22T11:02:00Z
wc2026-m001-draw,1,group_stage,A,Mexico,South Africa,2026-06-11T19:00:00Z,2026-06-11T19:00:00Z,2026-06-11T21:30:00Z,draw,match draws in regulation,match does not draw in regulation,0x0a4b9beb6128863db2b107f185521597a426356f1d9a23c7001401edfd32014b,11634144673803325466643188834337300341803737096067092239834760823912726000274,32920754457025923344160037413071777034516681249185298279382656637983579194324,neg_risk,0xe2222d279d744050d28e00520010520000310F59,bd46a148289f9930da66c140d4d7d2325e95d387,2026--usa/cup.txt,78-79,59d5c1f0393f0d7a82172b059a59131e84eaf86eb4ed99fd74f36cf1276189bd,0x21c954f111084f33870bc171d8f36150fc94fdebd2ad8bc8242a0cd05dc200a8,143,0xd1f2ea54b3e55c8e84f0269eb44265df4ef469ffc6900a867d05a9b853ad61f4,139,b12a3e2c5a62b5f9db4b03593db1a5940a9bbbd7a5f176ee175467747a226db8,85197715,0xd9274fadef1c2ea8b90c89bf8789b5aa8f0fd532716895f66cb4898cc656245b,4cad46ebe278b0e3beb2f6b9aa4046223285f0a9b976d5390b98c4096de3bdac,1.0.0,2026-07-22T11:02:00Z
wc2026-m001-away-win,1,group_stage,A,Mexico,South Africa,2026-06-11T19:00:00Z,2026-06-11T19:00:00Z,2026-06-11T21:30:00Z,away_win,South Africa wins in regulation,South Africa does not win in regulation,0x17dfc75726fa95d4054d91e80295c8b3e494569617e67a7e620e27562b7952b0,115307860962719805060784163204351769077176612029040401546976102705811910754396,13831437646097357849969762270657565756546241648335019755832588756409925241179,neg_risk,0xe2222d279d744050d28e00520010520000310F59,bd46a148289f9930da66c140d4d7d2325e95d387,2026--usa/cup.txt,78-79,59d5c1f0393f0d7a82172b059a59131e84eaf86eb4ed99fd74f36cf1276189bd,0x1355bae89e7bc48a6c2a66d6d6538334f77f593ff63b1752ebd31090724b06c5,216,0xb45ea58e44f0104961c51e68ad5a17b6a0c37daa38fa266f9e590fbab169c6ee,88,cba9e14be103fac8a95ddd4d7b46a03778d16bf7be4160281fee9277ea08df92,85197719,0x921d73aada139f1a4d57e14bcad290b23d151fa5d5e0bd1bc74ee23bffca2f97,4cad46ebe278b0e3beb2f6b9aa4046223285f0a9b976d5390b98c4096de3bdac,1.0.0,2026-07-22T11:02:00Z
wc2026-m002-home-win,2,group_stage,A,South Korea,Czech Republic,2026-06-12T02:00:00Z,2026-06-12T02:00:00Z,2026-06-12T04:30:00Z,home_win,South Korea wins in regulation,South Korea does not win in regulation,0x7061e7ce4d7744677b6c3a7d1db0f82eb90c342104167386619d75777a6083c1,52684921837049562400037353238223049293166344115053393981883920285480538360105,99051905283975981633120600976434787097233815075324326682624184708700421347610,neg_risk,0xe2222d279d744050d28e00520010520000310F59,bd46a148289f9930da66c140d4d7d2325e95d387,2026--usa/cup.txt,78-81,ea2e2a61da99c76ab99497a7a0c0ce772cc17e0ac4871cb4b9e62ce5b33395ba,0x682eb3d89b8c1856a08c7529f147898d3d98433bdb2d0179c1b15c0b259cc202,85,0x6af010f53a821ba6a2cb5f77a4db431195c2413ac8a9103a48b7ae39306d4f5b,83,433ad55a248c4501138293200de86e3e300b9436b1c5f3b23867cb8e474fe539,85197114,0xbd7cf2948acb7c4879bbbdd92daecac57ae2b8398befe1eb2cfba7faeebaa817,4cad46ebe278b0e3beb2f6b9aa4046223285f0a9b976d5390b98c4096de3bdac,1.0.0,2026-07-22T11:02:00Z
wc2026-m002-draw,2,group_stage,A,South Korea,Czech Republic,2026-06-12T02:00:00Z,2026-06-12T02:00:00Z,2026-06-12T04:30:00Z,draw,match draws in regulation,match does not draw in regulation,0xb3e5963c18d0fbe9285a35e65aa260b304a3cded6aaddab9507122caa33caf44,49396156480688770869378179133906823616889681020710122888263516916801618839975,36753589552865167178804183278085060173451010591513381436750404859929705416728,neg_risk,0xe2222d279d744050d28e00520010520000310F59,bd46a148289f9930da66c140d4d7d2325e95d387,2026--usa/cup.txt,78-81,ea2e2a61da99c76ab99497a7a0c0ce772cc17e0ac4871cb4b9e62ce5b33395ba,0x4ae7bd78cd4ed9388e9ecbc4aa6d3d591431e5dd4781a2e990e4e85a5541faca,168,0x0e9deac38880b51b7f7e7206c728379877b14690279809977232092b999da40b,166,eee00d041d81d3f3c71704d55ac95571b07d094c1575b5aba37d5949ec97b6b1,85197117,0x53db6478b85e934f87c8c2c9629186867cf8334026ac7d30a383c3c72afaf9c5,4cad46ebe278b0e3beb2f6b9aa4046223285f0a9b976d5390b98c4096de3bdac,1.0.0,2026-07-22T11:02:00Z
wc2026-m002-away-win,2,group_stage,A,South Korea,Czech Republic,2026-06-12T02:00:00Z,2026-06-12T02:00:00Z,2026-06-12T04:30:00Z,away_win,Czech Republic wins in regulation,Czech Republic does not win in regulation,0x293ed83ff451fbfd454eb09985f6707c5c33a30cf79ba98bf45ccf2fa553438f,77191186536909014586922022659322569099273509749066699749214305589630021269429,68484243328569428588255043277797425895965411073244027845565817022786363564052,neg_risk,0xe2222d279d744050d28e00520010520000310F59,bd46a148289f9930da66c140d4d7d2325e95d387,2026--usa/cup.txt,78-81,ea2e2a61da99c76ab99497a7a0c0ce772cc17e0ac4871cb4b9e62ce5b33395ba,0x1333833975844257f7686c4ef943dbfed2e9a07aa6cdc32fdda66ddbfcc90182,96,0xf0180c7851bf8fc7fd89666dff825be7041733002d5db17ff7c9be9726161009,111,8f701280fe7e646c82157cad9f43cfd8e2367d6e64f30be7f1747c08ce60b4aa,85197121,0x190a3649c901fcc1f3923b8c7336afc228f4d4c353eeac12ab3cb5a836c1611a,4cad46ebe278b0e3beb2f6b9aa4046223285f0a9b976d5390b98c4096de3bdac,1.0.0,2026-07-22T11:02:00Z
wc2026-m003-home-win,3,group_stage,B,Canada,Bosnia & Herzegovina,2026-06-12T19:00:00Z,2026-06-12T19:00:00Z,2026-06-12T21:30:00Z,home_win,Canada wins in regulation,Canada does not win in regulation,0x802adc7238db42d431521f625b2a367954d04ebf8836109257dd4a3b961c6108,94742454704773778167568688948405770414791647129006368131301932311609594298387,17715982439478661834311049562760143604624789531022579847720445317445850946683,neg_risk,0xe2222d279d744050d28e00520010520000310F59,bd46a148289f9930da66c140d4d7d2325e95d387,2026--usa/cup.txt,97-98,5c52a03ad6142f6b90a1fe3d6677bef2ce5f90464710da074dc5db0d00082ec1,0x07a93ecae1030ff32bfbd73a786c914842b28efa011346add0eb50ef65e7e0d6,7,0x0243e00dd3869c33acf8833579e07f17a78078f0a46974182749ad15a5a5e406,5,decab136f4919f9d77059987c4d06091e7c141d0c540fe9a4a741977b64d09ea,85197660,0x66e800709304ba41dde6db2f159c4aaa539f04d0c26a7cf665c8c64fee7ba083,4cad46ebe278b0e3beb2f6b9aa4046223285f0a9b976d5390b98c4096de3bdac,1.0.0,2026-07-22T11:02:00Z
wc2026-m003-draw,3,group_stage,B,Canada,Bosnia & Herzegovina,2026-06-12T19:00:00Z,2026-06-12T19:00:00Z,2026-06-12T21:30:00Z,draw,match draws in regulation,match does not draw in regulation,0xeda55c7409e9f0f436377ea300db42db6c576277846df770abd1391828dde639,22172667310022772208699373598096867628027942277851933544696144873879741224440,15998755789889469128559005074485135677966477233530982372977193964671191824922,neg_risk,0xe2222d279d744050d28e00520010520000310F59,bd46a148289f9930da66c140d4d7d2325e95d387,2026--usa/cup.txt,97-98,5c52a03ad6142f6b90a1fe3d6677bef2ce5f90464710da074dc5db0d00082ec1,0xdd6cfa0bdf3b708c64b82a29adda6c85655fb7aa96af0b6f32008aa7b66f05ce,11,0x43eb0420f64fc7eec6e5ce17db7e7be79289fa2f59706d6d0b3d9acaad13989d,7,e48bcef08092f437d04ad8c5fb546fc0d018764cfd5e6cf9e2def11db7c67fa0,85197663,0xa15b246bb8497cd278e1ab14ac2ab3e417af3b9f5ebfdbd89303561bf7294fa1,4cad46ebe278b0e3beb2f6b9aa4046223285f0a9b976d5390b98c4096de3bdac,1.0.0,2026-07-22T11:02:00Z
wc2026-m003-away-win,3,group_stage,B,Canada,Bosnia & Herzegovina,2026-06-12T19:00:00Z,2026-06-12T19:00:00Z,2026-06-12T21:30:00Z,away_win,Bosnia & Herzegovina wins in regulation,Bosnia & Herzegovina does not win in regulation,0x3bb3f35e86949207b257f1f3288a8ceaf071638cbd10a3c9a8273b4f542d4ee0,74187637053502514449598313026757559914734686113697608141302796666649587118979,78914143801587165154561306904389940257178844110824551816539453176630952123185,neg_risk,0xe2222d279d744050d28e00520010520000310F59,bd46a148289f9930da66c140d4d7d2325e95d387,2026--usa/cup.txt,97-98,5c52a03ad6142f6b90a1fe3d6677bef2ce5f90464710da074dc5db0d00082ec1,0x33b0764c099cdb4ac94002035113a2917799452fdf00b87c8c1d2199dd63c145,14,0xc5a57f121466427fe3652f0c3186b30e5a093d499b69ccc85c89e80058faef5e,73,c1ebd8aa32fe4d4f4cc02bea063b289d4f8956c87f4a6569e0c139cb026d4c05,85197667,0x96f8c667d7bc213bf4e80dc6afdbd27da475b9622041ccfe61f769a79b59b30f,4cad46ebe278b0e3beb2f6b9aa4046223285f0a9b976d5390b98c4096de3bdac,1.0.0,2026-07-22T11:02:00Z
wc2026-m004-home-win,4,group_stage,D,USA,Paraguay,2026-06-13T01:00:00Z,2026-06-13T01:00:00Z,2026-06-13T03:30:00Z,home_win,USA wins in regulation,USA does not win in regulation,0x26c10c27cde58e2d6214d65ab562d8142d34723b3b6ec3f40836d24f6d22dfc9,1053697017401072331517873943000159665286188444438499834342450614809920055961,103762070253474724327642675318359667052520958947231343630898390646099257156740,neg_risk,0xe2222d279d744050d28e00520010520000310F59,bd46a148289f9930da66c140d4d7d2325e95d387,2026--usa/cup.txt,139-140,34010c2f99636db613ac6b011a86308dfa55c94a4b38d44c83820ab1b363195a,0xb07ffa10df216c538d512776eba1fc5ccc88e7b846e9b1ba590bcee124bbda4d,57,0x16a49c7f7966be427cb40491782016219d9db120591c8837e9083b2aa8993914,72,ecb8d45de9ddf9ce9a0b8224ff1678da36471ab6a41472c1de4720cd18e0df78,85196999,0xaac3eadf79e33b308b907fe402ad6fac185d5252f3b34d1ad31f066ae17bd7db,4cad46ebe278b0e3beb2f6b9aa4046223285f0a9b976d5390b98c4096de3bdac,1.0.0,2026-07-22T11:02:00Z
