match_id,stage,group_label,matchday,match_date,kickoff_time_et,venue,home_slot,away_slot,home_team,away_team,status,source
1,Group Stage,A,1,2026-06-11,3:00 PM,Mexico City Stadium (Estadio Azteca),Mexico,South Africa,Mexico,South Africa,scheduled,https://digitalhub.fifa.com/asset/4b5d4417-3343-4732-9cdf-14b6662af407/FWC26-Match-Schedule_English.pdf | https://worldcuppass.com/schedule/
2,Group Stage,A,1,2026-06-11,10:00 PM,"Guadalajara Stadium (Estadio Akron), Zapopan",South Korea,Czechia,South Korea,Czechia,scheduled,https://digitalhub.fifa.com/asset/4b5d4417-3343-4732-9cdf-14b6662af407/FWC26-Match-Schedule_English.pdf | https://worldcuppass.com/schedule/
3,Group Stage,B,1,2026-06-12,3:00 PM,Toronto Stadium (BMO Field),Canada,Bosnia and Herzegovina,Canada,Bosnia and Herzegovina,scheduled,https://digitalhub.fifa.com/asset/4b5d4417-3343-4732-9cdf-14b6662af407/FWC26-Match-Schedule_English.pdf | https://worldcuppass.com/schedule/
4,Group Stage,D,1,2026-06-12,9:00 PM,Los Angeles Stadium (SoFi),USA,Paraguay,USA,Paraguay,scheduled,https://digitalhub.fifa.com/asset/4b5d4417-3343-4732-9cdf-14b6662af407/FWC26-Match-Schedule_English.pdf | https://worldcuppass.com/schedule/
5,Group Stage,C,1,2026-06-13,9:00 PM,Boston Stadium (Gillette),Haiti,Scotland,Haiti,Scotland,scheduled,https://digitalhub.fifa.com/asset/4b5d4417-3343-4732-9cdf-14b6662af407/FWC26-Match-Schedule_English.pdf | https://worldcuppass.com/schedule/
6,Group Stage,D,1,2026-06-14,12:00 AM,"BC Place, Vancouver",Australia,Türkiye,Australia,Türkiye,scheduled,https://digitalhub.fifa.com/asset/4b5d4417-3343-4732-9cdf-14b6662af407/FWC26-Match-Schedule_English.pdf | https://worldcuppass.com/schedule/
7,Group Stage,C,1,2026-06-13,6:00 PM,New York New Jersey Stadium (MetLife),Brazil,Morocco,Brazil,Morocco,scheduled,https://digitalhub.fifa.com/asset/4b5d4417-3343-4732-9cdf-14b6662af407/FWC26-Match-Schedule_English.pdf | https://worldcuppass.com/schedule/
8,Group Stage,B,1,2026-06-13,3:00 PM,San Francisco Bay Area Stadium (Levi’s),Qatar,Switzerland,Qatar,Switzerland,scheduled,https://digitalhub.fifa.com/asset/4b5d4417-3343-4732-9cdf-14b6662af407/FWC26-Match-Schedule_English.pdf | https://worldcuppass.com/schedule/
9,Group Stage,E,1,2026-06-14,7:00 PM,Philadelphia Stadium (Lincoln Financial),Ivory Coast,Ecuador,Ivory Coast,Ecuador,scheduled,https://digitalhub.fifa.com/asset/4b5d4417-3343-4732-9cdf-14b6662af407/FWC26-Match-Schedule_English.pdf | https://worldcuppass.com/schedule/
10,Group Stage,E,1,2026-06-14,1:00 PM,Houston Stadium (NRG),Germany,Curaçao,Germany,Curaçao,scheduled,https://digitalhub.fifa.com/asset/4b5d4417-3343-4732-9cdf-14b6662af407/FWC26-Match-Schedule_English.pdf | https://worldcuppass.com/schedule/
11,Group Stage,F,1,2026-06-14,4:00 PM,Dallas Stadium (AT&T),Netherlands,Japan,Netherlands,Japan,scheduled,https://digitalhub.fifa.com/asset/4b5d4417-3343-4732-9cdf-14b6662af407/FWC26-Match-Schedule_English.pdf | https://worldcuppass.com/schedule/
12,Group Stage,F,1,2026-06-14,10:00 PM,"Monterrey Stadium (Estadio BBVA), Guadalupe",Sweden,Tunisia,Sweden,Tunisia,scheduled,https://digitalhub.fifa.com/asset/4b5d4417-3343-4732-9cdf-14b6662af407/FWC26-Match-Schedule_English.pdf | https://worldcuppass.com/schedule/
13,Group Stage,H,1,2026-06-15,6:00 PM,Miami Stadium (Hard Rock),Saudi Arabia,Uruguay,Saudi Arabia,Uruguay,scheduled,https://digitalhub.fifa.com/asset/4b5d4417-3343-4732-9cdf-14b6662af407/FWC26-Match-Schedule_English.pdf | https://worldcuppass.com/schedule/
14,Group Stage,H,1,2026-06-15,12:00 PM,Atlanta Stadium (Mercedes-Benz),Spain,Cabo Verde,Spain,Cabo Verde,scheduled,https://digitalhub.fifa.com/asset/4b5d4417-3343-4732-9cdf-14b6662af407/FWC26-Match-Schedule_English.pdf | https://worldcuppass.com/schedule/
15,Group Stage,G,1,2026-06-15,9:00 PM,Los Angeles Stadium (SoFi),Iran,New Zealand,Iran,New Zealand,scheduled,https://digitalhub.fifa.com/asset/4b5d4417-3343-4732-9cdf-14b6662af407/FWC26-Match-Schedule_English.pdf | https://worldcuppass.com/schedule/
16,Group Stage,G,1,2026-06-15,3:00 PM,Seattle Stadium (Lumen Field),Belgium,Egypt,Belgium,Egypt,scheduled,https://digitalhub.fifa.com/asset/4b5d4417-3343-4732-9cdf-14b6662af407/FWC26-Match-Schedule_English.pdf | https://worldcuppass.com/schedule/
17,Group Stage,I,1,2026-06-16,3:00 PM,New York New Jersey Stadium (MetLife),France,Senegal,France,Senegal,scheduled,https://digitalhub.fifa.com/asset/4b5d4417-3343-4732-9cdf-14b6662af407/FWC26-Match-Schedule_English.pdf | https://worldcuppass.com/schedule/
18,Group Stage,I,1,2026-06-16,6:00 PM,Boston Stadium (Gillette),Iraq,Norway,Iraq,Norway,scheduled,https://digitalhub.fifa.com/asset/4b5d4417-3343-4732-9cdf-14b6662af407/FWC26-Match-Schedule_English.pdf | https://worldcuppass.com/schedule/
